Temperature (K),U Isolated (J),U SOC (J),U SOC & CFS (J),F Isolated (J),F SOC (J),F SOC & CFS (J),S Isolated (J/K),S SOC (J/K),S SOC & CFS (J/K)
763.6363636363637,-0.0,-8.330526725821157e-22,-5.312949321964833e-21,-2.7823945136216557e-20,-1.9088422466663277e-20,-1.8544661630635907e-20,3.6436118630759776e-23,2.6088246133903873e-23,3.124077060386563e-23
780.8080808080808,-0.0,-9.1309639205878e-22,-5.459104836464616e-21,-2.8449615860179097e-20,-1.9537281960076778e-20,-1.908278333525907e-20,3.643611863075987e-23,2.6191886851245145e-23,3.143004611536408e-23
797.979797979798,-0.0,-9.96727023371779e-22,-5.601526053236132e-21,-2.9075286584141636e-20,-1.998794181306967e-20,-1.9624077355810023e-20,3.6436118630759776e-23,2.6297816245687916e-23,3.1610476523393517e-23
815.1515151515152,-0.0,-1.0838332278033866e-21,-5.740264982471248e-21,-2.970095730810418e-20,-2.0440439285686262e-20,-2.0168395660304908e-20,3.6436118630759776e-23,2.6405798905539749e-23,3.17825026236627e-23
832.3232323232323,-0.0,-1.1742957525807018e-21,-5.875382671790339e-21,-3.032662803206672e-20,-2.089480763406801e-20,-2.0715597647935814e-20,3.6436118630759776e-23,2.651560453257822e-23,3.194654864096454e-23
849.4949494949495,-0.0,-1.2679887449769419e-21,-6.006947411008359e-21,-3.095229875602926e-20,-2.1351076209027326e-20,-2.12655498560552e-20,3.6436118630759776e-23,2.662700908642062e-23,3.210302144675824e-23
866.6666666666667,-0.0,-1.364780985213773e-21,-6.135033183581377e-21,-3.157796947999181e-20,-2.180927057238953e-20,-2.1818125657218424e-20,3.643611863075959e-23,2.673979571988787e-23,3.225231014238816e-23
883.8383838383838,-0.0,-1.4645370344188324e-21,-6.259718336215579e-21,-3.220364020395434e-20,-2.2269412627690142e-20,-2.237320495185439e-20,3.6436118630759776e-23,2.6853755525666186e-23,3.2394785932368637e-23
901.010101010101,-0.0,-1.5671182958261716e-21,-6.381084440577269e-21,-3.2829310927916887e-20,-2.273152076215988e-20,-2.2930673860956332e-20,3.6436118630759776e-23,2.6968688114014894e-23,3.253080222508719e-23
918.1818181818182,-0.0,-1.6723839889834751e-21,-6.499215323505658e-21,-3.3454981651879426e-20,-2.319560999726237e-20,-2.3490424422210925e-20,3.6436118630759776e-23,2.7084402040385027e-23,3.266069490925199e-23
935.3535353535354,-0.0,-1.780192038014133e-21,-6.614196244509478e-21,-3.408065237584197e-20,-2.3661692145365026e-20,-2.405235429218317e-20,3.6436118630759776e-23,2.720071510075467e-23,3.2784782763670994e-23
952.5252525252525,-0.0,-1.8903998760125193e-21,-6.726113201604028e-21,-3.470632309980451e-20,-2.4129775970419603e-20,-2.461636645651882e-20,3.6436118630759776e-23,2.731745451131013e-23,3.290336796576055e-23
969.6969696969697,-0.0,-2.0028651684353946e-21,-6.83505234865897e-21,-3.533199382376705e-20,-2.4599867350803957e-20,-2.518236894959312e-20,3.6436118630759776e-23,2.743445698784683e-23,3.3016736670693777e-23
986.868686868687,-0.0,-2.1174464589704306e-21,-6.941099509366323e-21,-3.59576645477296e-20,-2.5071969442729497e-20,-2.5750274584603257e-20,3.643611863075959e-23,2.7551568738993747e-23,3.312515963854364e-23
1004.040404040404,-0.0,-2.234003741786505e-21,-7.044339774711568e-21,-3.658333527169213e-20,-2.5546082842850208e-20,-2.632000069475523e-20,3.643611863075959e-23,2.766864538610413e-23,3.3228892891271534e-23
1021.2121212121212,-0.0,-2.3523989643778983e-21,-7.144857172432567e-21,-3.720900599565467e-20,-2.6022205748918926e-20,-2.689146888591965e-20,3.6436118630759776e-23,2.778555182142327e-23,3.332817838515887e-23
1038.3838383838383,-0.0,-2.4724964653952152e-21,-7.242734398377177e-21,-3.7834676719617216e-20,-2.6500334117525353e-20,-2.74646048009122e-20,3.6436118630759964e-23,2.790216201497041e-23,3.342324468734148e-23
1055.5555555555557,-0.0,-2.5941633519355812e-21,-7.33805260095195e-21,-3.846034744357977e-20,-2.6980461818119938e-20,-2.803933789538391e-20,3.6436118630759964e-23,2.801835877944998e-23,3.3514307647626386e-23
1072.7272727272727,-0.0,-2.717269820779518e-21,-7.43089121098672e-21,-3.90860181675423e-20,-2.746258078267818e-20,-2.861560122517412e-20,3.643611863075959e-23,2.8134033501467914e-23,3.360157105883505e-23
1089.8989898989898,-0.0,-2.841689428001511e-21,-7.521327810339252e-21,-3.9711688891504836e-20,-2.7946681150493577e-20,-2.919333124487925e-20,3.643611863075959e-23,2.8249085846354725e-23,3.368522730059088e-23
1107.0707070707072,-0.0,-2.9672993112725734e-21,-7.609438033446903e-21,-4.033735961546739e-20,-2.843275140770451e-20,-2.977246761731563e-20,3.6436118630759964e-23,2.8363423442999125e-23,3.376545796282635e-23
1124.2424242424242,-0.0,-3.0939803690301153e-21,-7.695295496806005e-21,-4.0963030339429927e-20,-2.8920778521263243e-20,-3.0352953033501565e-20,3.6436118630759964e-23,2.8476961554280314e-23,3.3842434446380123e-23
1141.4141414141413,-0.0,-3.221617400521835e-21,-7.778971752039474e-21,-4.1588701063392467e-20,-2.941074806714443e-20,-3.093473304274686e-20,3.6436118630759776e-23,2.858962273794115e-23,3.39163185389415e-23
1158.5858585858587,-0.0,-3.350099210519672e-21,-7.860536258799826e-21,-4.221437178735501e-20,-2.990264435266729e-20,-3.1517755892414713e-20,3.6436118630759776e-23,2.8701336502058374e-23,3.3987262965274146e-23
1175.757575757576,-5.297477155849438e-34,-3.4793186823066885e-21,-7.940056374278411e-21,-4.284004251131756e-20,-3.03964505328717e-20,-3.21019723769078e-20,3.6436118630759964e-23,2.881203895867407e-23,3.405541191122755e-23
1192.9292929292928,5.453344415637595e-34,-3.609172822312142e-21,-8.017597356539478e-21,-4.346571323528009e-20,-3.0892148720944974e-20,-3.268733569542656e-20,3.64361186307594e-23,2.892167247859625e-23,3.412090152146413e-23
1210.1010101010102,-0.0,-3.7395627795527146e-21,-8.093222379284208e-21,-4.409138395924263e-20,-3.1389720092742686e-20,-3.327380131804899e-20,3.6436118630759776e-23,2.9030185349895145e-23,3.4183860371158746e-23
1227.2727272727275,-0.0,-3.870393842810146e-21,-8.166992555994709e-21,-4.4717054683205183e-20,-3.188914498548684e-20,-3.386132685968859e-20,3.6436118630759964e-23,2.9137531442186477e-23,3.4244409912190436e-23
1244.4444444444446,-0.0,-4.0015754182650245e-21,-8.238966971706695e-21,-4.534272540716772e-20,-3.2390402990757174e-20,-3.4449871961497956e-20,3.6436118630759776e-23,2.9243669878422873e-23,3.4302664894528153e-23
1261.6161616161617,-0.0,-4.133020990087006e-21,-8.30920272089964e-21,-4.596839613113026e-20,-3.289347304191752e-20,-3.503939817929864e-20,3.643611863075959e-23,2.9348564715564914e-23,3.4358733763646984e-23
1278.787878787879,-0.0,-4.264648066279413e-21,-8.37775495023286e-21,-4.65940668550928e-20,-3.3398333496140215e-20,-3.562986887863331e-20,3.6436118630759964e-23,2.9452184635225436e-23,3.441271903491407e-23
1295.959595959596,-0.0,-4.396378111871738e-21,-8.444676905030979e-21,-4.721973757905535e-20,-3.390496221120809e-20,-3.622124913605326e-20,3.6436118630759776e-23,2.955450264511541e-23,3.446471764593541e-23
1313.1313131313132,-0.0,-4.5281364713785544e-21,-8.51001997859999e-21,-4.784540830301788e-20,-3.4413336617285586e-20,-3.6813505646271495e-20,3.643611863075959e-23,2.9655495791903014e-23,3.4514821287897844e-23
1330.3030303030305,-0.0,-4.6598522822508256e-21,-8.573833763583921e-21,-4.8471079026980434e-20,-3.4923433783859313e-20,-3.7406606634829554e-20,3.6436118630759776e-23,2.975514488590892e-23,3.4563116716941296e-23
1347.4747474747476,-0.0,-4.791458380886889e-21,-8.636166104709776e-21,-4.909674975094297e-20,-3.5435230482054177e-20,-3.8000521775944223e-20,3.6436118630759776e-23,2.9853434237892586e-23,3.4609686046617276e-23
1364.6464646464647,-0.0,-4.922891202618042e-21,-8.697063152363035e-21,-4.9722420474905513e-20,-3.594870324253441e-20,-3.8595222115218425e-20,3.643611863075959e-23,2.9950351408058475e-23,3.4654607022450124e-23
1381.818181818182,-0.0,-5.0540906769236966e-21,-8.756569416524965e-21,-5.034809119886805e-20,-3.6463828409199626e-20,-3.9190679996917264e-20,3.6436118630759964e-23,3.00458869672757e-23,3.469795327960669e-23
1398.989898989899,-0.0,-5.185000119007116e-21,-8.814727820694535e-21,-5.09737619228306e-20,-3.6980582188885285e-20,-3.9786868995528153e-20,3.6436118630759776e-23,3.014003427042052e-23,3.473979458465151e-23
1416.1616161616162,-0.0,-5.315566118743715e-21,-8.87157975547006e-21,-5.159943264679313e-20,-3.749894069727467e-20,-4.0383763851339636e-20,3.6436118630759776e-23,3.023278924167656e-23,3.4780197062321856e-23
1433.3333333333335,-0.0,-5.4457384278739845e-21,-8.927165131530756e-21,-5.2225103370755684e-20,-3.8018880001225693e-20,-4.098134040978971e-20,3.6436118630759964e-23,3.032415017153535e-23,3.4819223408221506e-23
1450.5050505050506,-0.0,-5.575469846239948e-21,-8.981522431804165e-21,-5.285077409471822e-20,-3.8540376157711237e-20,-4.157957556434926e-20,3.6436118630759776e-23,3.041411752521901e-23,3.485693308829441e-23
1467.6767676767677,-0.0,-5.704716107742409e-21,-9.03468876265285e-21,-5.347644481868076e-20,-3.906340524956655e-20,-4.2178447202721026e-20,3.643611863075959e-23,3.050269376218126e-23,3.4893382525889496e-23
1484.848484848485,-0.0,-5.833435766619468e-21,-9.08669990393642e-21,-5.4102115542643303e-20,-3.95879434182306e-20,-4.2777934156147496e-20,3.6436118630759964e-23,3.058988316632055e-23,3.4928625277192734e-23
1502.020202020202,-0.0,-5.961590084565087e-21,-9.137590357850987e-21,-5.472778626660584e-20,-4.0113966893662403e-20,-4.3378016151634714e-20,3.643611863075959e-23,3.0675691686514745e-23,3.4962712195757254e-23
1519.1919191919194,-0.0,-6.089142919137147e-21,-9.187393396472674e-21,-5.535345699056839e-20,-4.064145202160586e-20,-4.397867376691088e-20,3.643611863076015e-23,3.0760126787070406e-23,3.4995691586829185e-23
1536.3636363636365,-0.0,-6.2160606138245466e-21,-9.236141107926189e-21,-5.597912771453093e-20,-4.117037528836987e-20,-4.457988838795006e-20,3.6436118630759776e-23,3.0843197307658785e-23,3.5027609352103304e-23
1553.5353535353536,-0.0,-6.342311890114681e-21,-9.283864441166012e-21,-5.660479843849347e-20,-4.170071334328303e-20,-4.5181642168902303e-20,3.64361186307594e-23,3.0924913332331144e-23,3.5058509125539836e-23
1570.707070707071,-0.0,-6.467867741810522e-21,-9.330593249327266e-21,-5.723046916245601e-20,-4.2232443018975186e-20,-4.5783917994281735e-20,3.643611863075959e-23,3.1005286067167476e-23,3.508843240080441e-23
1587.878787878788,-0.0,-6.592701331826123e-21,-9.376356331642975e-21,-5.785613988641855e-20,-4.2765541349630193e-20,-4.638669944327336e-20,3.6436118630759776e-23,3.108432772614804e-23,3.511741865087169e-23
1605.050505050505,-0.0,-6.716787891648482e-21,-9.4211814739272e-21,-5.848181061038109e-20,-4.329998558734794e-20,-4.698997075602884e-20,3.6436118630759964e-23,3.1162051424829426e-23,3.514550544030502e-23
1622.2222222222224,-0.0,-6.840104623593388e-21,-9.465095487635187e-21,-5.910748133434364e-20,-4.383575321674555e-20,-4.7593716801829297e-20,3.643611863075959e-23,3.123847108140743e-23,3.517272853067815e-23
1639.3939393939395,-0.0,-6.962630605971057e-21,-9.508124247509249e-21,-5.973315205830617e-20,-4.4372821967921526e-20,-4.819792304900162e-20,3.643611863075921e-23,3.1313601324772886e-23,3.5199121979581577e-23
1656.5656565656566,-0.0,-7.084346701245956e-21,-9.550292727838619e-21,-6.035882278226871e-20,-4.4911169827899363e-20,-4.8802575536481586e-20,3.6436118630759964e-23,3.138745740917192e-23,3.5224718233634975e-23
1673.737373737374,-0.0,-7.205235467231035e-21,-9.591625037357752e-21,-6.098449350623126e-20,-4.5450775050660775e-20,-4.9407660846924446e-20,3.643611863076034e-23,3.1460055135089337e-23,3.524954821588438e-23
1690.909090909091,-0.0,-7.325281071357403e-21,-9.632144452816773e-21,-6.16101642301938e-20,-4.5991616165872127e-20,-5.0013166081269536e-20,3.6436118630759964e-23,3.153141077599332e-23,3.527364140795079e-23
1708.080808080808,-0.0,-7.444469208029277e-21,-9.671873451252085e-21,-6.223583495415634e-20,-4.653367198640195e-20,-5.061907883467224e-20,3.643611863075959e-23,3.1601541010601006e-23,3.5297025927265814e-23
1725.2525252525254,-0.0,-7.562787019057385e-21,-9.710833740994816e-21,-6.286150567811888e-20,-4.707692161472105e-20,-5.122538717372109e-20,3.643611863075959e-23,3.1670462860317354e-23,3.5319728599710604e-23
1742.4242424242425,-0.0,-7.6802230171405e-21,-9.749046291454944e-21,-6.348717640208142e-20,-4.762134444827144e-20,-5.183207961486432e-20,3.6436118630759964e-23,3.173819363153568e-23,3.5341775027953485e-23
1759.5959595959598,-0.0,-7.796767012383074e-21,-9.78653136172529e-21,-6.411284712604397e-20,-4.816692018388491e-20,-5.243914510397404e-20,3.643611863076034e-23,3.180475086249571e-23,3.536318965575926e-23
1776.767676767677,-0.0,-7.912410041781971e-21,-9.823308528024396e-21,-6.473851785000651e-20,-4.871362882132684e-20,-5.3046572996981303e-20,3.6436118630759964e-23,3.187015227440279e-23,3.538399582852548e-23
1793.939393939394,-0.0,-8.02714430164847e-21,-9.859396710047685e-21,-6.536418857396905e-20,-4.9261450666036116e-20,-5.365435304151936e-20,3.643611863075921e-23,3.1934415726541646e-23,3.540421585029299e-23
1811.1111111111113,-0.0,-8.140963082886515e-21,-9.894814196240469e-21,-6.598985929793159e-20,-4.981036633112727e-20,-5.426247535951663e-20,3.6436118630759964e-23,3.199755917510984e-23,3.5423871037445116e-23
1828.2828282828284,-0.0,-8.25386070907711e-21,-9.929578668037743e-21,-6.661553002189413e-20,-5.0360356738716654e-20,-5.487093043068414e-20,3.643611863075959e-23,3.2059600635538195e-23,3.544298176930248e-23
1845.4545454545455,-0.0,-8.365832477292515e-21,-9.963707223117869e-21,-6.724120074585667e-20,-5.09114031206306e-20,-5.54797090768462e-20,3.6436118630759964e-23,3.2120558148056695e-23,3.5461567535824735e-23
1862.6262626262628,-0.0,-8.476874601553012e-21,-9.997216397710825e-21,-6.786687146981922e-20,-5.146348701854891e-20,-5.6088802447066e-20,3.6436118630759964e-23,3.2180449746278707e-23,3.547964698258365e-23
1879.79797979798,-0.0,-8.586984158868496e-21,-1.0030122187966107e-20,-6.849254219378176e-20,-5.2016590283634103e-20,-5.669820200352079e-20,3.6436118630759964e-23,3.223929342860919e-23,3.549723795317609e-23
1896.969696969697,-0.0,-8.69615903776697e-21,-1.0062440070468317e-20,-6.91182129177443e-20,-5.2570695075693054e-20,-5.730789950808416e-20,3.643611863075959e-23,3.229710713227078e-23,3.551435752925721e-23
1914.1414141414143,-0.0,-8.804397889237079e-21,-1.0094185021887132e-20,-6.974388364170684e-20,-5.3125783861914116e-20,-5.79178870095761e-20,3.6436118630759964e-23,3.2353908709762507e-23,3.5531022068318225e-23
1931.3131313131314,-0.0,-8.911700079996637e-21,-1.0125371537824124e-20,-7.036955436566938e-20,-5.368183941522025e-20,-5.852815683164256e-20,3.643611863075959e-23,3.240971590758371e-23,3.554724723934975e-23
1948.4848484848485,-0.0,-9.018065648013027e-21,-1.0156013650884765e-20,-7.099522508963192e-20,-5.423884481227557e-20,-5.913870156123053e-20,3.6436118630759964e-23,3.246454634705806e-23,3.5563048056543903e-23
1965.6565656565658,-0.0,-9.123495260179582e-21,-1.0186124948005046e-20,-7.162089581359447e-20,-5.479678343117983e-20,-5.974951403762489e-20,3.643611863075959e-23,3.251841750709913e-23,3.5578438911119923e-23
1982.828282828283,-0.0,-9.227990172075899e-21,-1.0215718587050657e-20,-7.2246566537557e-20,-5.535563894888302e-20,-6.036058734201646e-20,3.643611863075959e-23,3.257134670878451e-23,3.5593433601409854e-23
2000.0,-0.0,-9.360125323732447e-21,-1.0318344245225804e-20,-7.287223726151954e-20,-5.59153953383502e-20,-6.097191478757229e-20,3.643611863075949e-23,3.259757797485373e-23,3.560083359413414e-23
